text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @AllyBrooke: VOTING IS NOW OPEN!!!🚨 HERE WE GOOOOOO!!!

Text ALLY to 21523 to vote or vote online at https://t.co/1Z7HaCbAAn. #DWTS #Tea…",FALSE,0,NA,2019-10-22T00:56:20Z,FALSE,NA,1186446153698680832,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nah_herondale,381,TRUE,FALSE,NA,NA
"RT @DancingABC: What a great way to kick off the night, @AllyBrooke! 💃🏽 #TeamTimeToShine #DWTS https://t.co/tNdCP8Lved",FALSE,0,NA,2019-10-22T00:56:20Z,FALSE,NA,1186446151718825984,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Desiree1636,233,TRUE,FALSE,NA,NA
RT @buteraIIIy: @AllyBrooke @DancingABC @SashaFarber Voting for you #TeamTime2Shine &amp; #DWTS!! I love you❤️🥺 https://t.co/274TwUxBb3,FALSE,0,NA,2019-10-22T00:56:18Z,FALSE,NA,1186446142084501505,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",allygirlvote,4,TRUE,FALSE,NA,NA
RT @seanspicer: Thanks @DonaldJTrumpJr     Need your votes tonight on @DancingABC Voting is open now.   Cast all 20 votes.  10 by texting S…,FALSE,0,NA,2019-10-22T00:56:17Z,FALSE,NA,1186446141853859841,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",crafternut,487,TRUE,FALSE,NA,NA
RT @DancingABC: RT if you’re obsessing over Karamo Brown’s Contemporary! 😍 #TeamJeranamo #DWTS https://t.co/HjVniwQ07w,FALSE,0,NA,2019-10-22T00:56:16Z,FALSE,NA,1186446137110212608,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PHinson121,88,TRUE,FALSE,NA,NA
10 votes for one of the most amazing people in the world @AllyBrooke #DWTS #TeamTime2Shine 🧡 @WeLuvAllyB https://t.co/8eyUZA7A7N,FALSE,0,NA,2019-10-22T00:56:16Z,FALSE,NA,1186446136577548288,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cryinghells,0,FALSE,FALSE,NA,NA
RT @AllyBrooke: Thank you Colleen!! ❤️❤️ #TeamTime2Shine #DWTS https://t.co/Mu9wP7rjRq,FALSE,0,NA,2019-10-22T00:56:16Z,FALSE,NA,1186446135256387584,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kccruela,55,TRUE,FALSE,NA,NA
WITNEY SNAPPING! #dwts,FALSE,0,NA,2019-10-22T00:56:15Z,FALSE,NA,1186446131628298241,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",witneycarsonfan,1,FALSE,FALSE,NA,NA
Dancing With The Stars - Karamo &amp; Jenna!!!! @DancingABC @ABCNetwork @JennaJohnson #DWTS #DancingWithTheStars #ABC… https://t.co/ePfTkg4hTW,FALSE,0,NA,2019-10-22T00:56:15Z,TRUE,NA,1186446131313758209,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LonnieM73146468,1,FALSE,FALSE,NA,NA
RT @seanspicer: Thanks @DonaldJTrumpJr     Need your votes tonight on @DancingABC Voting is open now.   Cast all 20 votes.  10 by texting S…,FALSE,0,NA,2019-10-22T00:56:14Z,FALSE,NA,1186446126842568704,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",roomato1,487,TRUE,FALSE,NA,NA
